Word,Count
asno,55
ba,55
mire,55
echar,55
moza,55
ense,55
haga,55
maury,54
veo,54
conocido,54
abad,54
agora,54
llorar,54
pudiese,54
encantado,54
querido,54
naturaleza,54
seguir,54
dejado,54
nces,54
van,54
antigua,54
esposo,54
go,53
man,53
extran,53
alegre,53
ada,53
espacio,53
hallar,53
discurso,53
mayores,53
sierra,53
mesma,53
supo,53
contrario,53
cualquier,53
color,53
acababa,53
claro,53
peque,52
verdadera,52
baja,52
habiendo,52
sacerdote,52
plaza,52
quieres,52
justicia,52
espan,52
dicha,52
habian,52
dolorosa,52
pueden,52
esperar,51
libre,51
suelen,51
acabar,51
decia,51
largo,51
ronse,51
gracia,51
oficio,51
ventana,51
ruido,51
princesa,51
viento,51
vivo,50
general,50
murmur,50
muchacho,50
ido,50
muestras,50
quiza,50
favor,50
respeto,50
provecho,50
enamorado,50
podra,50
ticas,50
principal,50
silla,50
simas,50
vaya,50
deseos,50
empe,50
podido,50
gigante,50
tom,49
sentido,49
entra,49
corazo,49
locura,49
moros,49
ntes,49
santo,49
rmino,49
deb,49
hablaba,49
dama,49
cano,49
dir,49
contar,49
pol,49
cualquiera,48
grit,48
quedar,48
suceso,48
lei,48
llamado,48
bondad,48
prop,48
diga,48
criados,48
veinte,48
pi,48
nica,48
llamar,48
noticia,48
escrito,48
dias,48
arcipreste,47
dijese,47
consigo,47
decirle,47
car,47
pasos,47
presente,47
simos,47
lu,47
doce,47
criatura,47
ausencia,47
quiera,47
semos,47
deseaba,47
malo,47
venga,47
ciego,47
blanco,47
conocer,47
correr,47
hice,47
rboles,47
derecho,46
figueredo,46
noble,46
ropa,46
casta,46
compa,46
sucesos,46
dejando,46
pasa,46
sentir,46
fu,46
cr,46
amores,46
larga,46
cabrero,45
nero,45
salio,45
extremo,45
vie,45
tuve,45
contado,45
fui,45
dormir,45
basta,45
blanca,45
podia,45
pagar,45
luis,45
hacienda,45
raz,45
vieja,45
replic,45
renegado,45
monta,45
seri,45
hecha,45
vuestras,45
conversaci,45
guerra,44
enza,44
leonela,44
entro,44
humana,44
ambos,44
mu,44
ahi,44
hallaba,44
pepito,44
sepa,44
idea,44
pla,44
paciencia,44
dico,44
vieron,44
ay,43
estilo,43
anda,43
diese,43
hechos,43
vea,43
llegaba,43
juro,43
valiente,43
b,43
sacar,43
cuello,43
dellos,43
veras,43
terrible,43
conozco,43
cautivo,43
acompan,43
toma,43
vuelta,43
mostraba,43
servir,43
sean,43
acuerdo,43
podr,43
cargo,42
menudo,42
torno,42
pecado,42
procesion,42
barba,42
miraba,42
ning,42
llevo,42
hue,42
acabo,42
clara,42
quedaba,42
grave,42
belleza,42
naya,42
sigui,42
flores,42
hablando,42
toca,42
culo,42
pedir,41
lera,41
ramos,41
sabes,41
ejemplo,41
real,41
orgullo,41
fuerzas,41
oritas,41
luna,41
papeles,41
trato,41
alcanzar,41
noches,41
imposible,41
llega,41
secreto,41
perd,41
hu,41
segundo,41
obras,41
cambio,41
siguiente,41
arriba,41
sombrero,41
stima,40
cuarto,40
puedes,40
vive,40
negocio,40
pude,40
dientes,40
tristeza,40
can,40
nacido,40
mercedes,40
puro,40
llegaron,40
hombros,40
trata,40
vera,40
sue,40
negra,40
ximo,40
cruel,40
oidor,40
acerca,40
perdido,40
nto,40
empez,40
cia,40
piedra,40
meses,40
mando,40
escribir,40
hallado,40
hidalgo,39
due,39
pelo,39
acaba,39
suma,39
hare,39
hermana,39
habra,39
aba,39
rodillas,39
sica,39
pastor,39
enojo,39
corte,39
subir,39
mejores,39
cl,39
darme,39
piensa,38
ge,38
lanza,38
trampeta,38
mentira,38
viva,38
venganza,38
dem,38
fondo,38
humano,38
arriero,38
trae,38
duen,38
lage,38
irse,38
oras,38
ales,38
valeroso,38
in,38
juntos,38
capaz,38
igual,37
halle,37
priesa,37
cter,37
monos,37
ira,37
ley,37
hari,37
reales,37
hacerle,37
levant,37
habl,37
pen,37
cai,37
partida,37
mula,37
rselo,37
primo,37
sinti,37
familia,37
especialmente,37
digno,37
dedos,37
cocina,37
treinta,37
dineros,36
doy,36
muchacha,36
pens,36
entiendo,36
escopeta,36
viese,36
atenci,36
saco,36
servido,36
capita,36
versos,36
yelmo,36
rato,36
josefa,36
duval,36
sombra,36
oy,36
cazador,36
tr,36
pesadumbre,36
milagro,36
gentil,36
tra,36
ningu,36
verse,36
grado,36
verdaderamente,36
nuestras,36
decirse,36
espaldas,36
aldea,36
muerta,35
duro,35
chiquillo,35
ando,35
recibir,35
pido,35
capilla,35
llegando,35
importa,35
hazan,35
alla,35
forma,35
hall,35
consejo,35
conoci,35
casas,35
buscando,35
autor,35
virgen,35
quise,35
ayer,35
madame,35
habitaci,35
tiempos,35
sazo,35
moscoso,35
quedaron,35
tenemos,35
baile,35
ustedes,35
demas,34
llena,34
curas,34
costa,34
almas,34
jumento,34
pensando,34
verla,34
negros,34
har,34
vil,34
enga,34
conocimiento,34
estuviese,34
conto,34
baci,34
moro,34
viaje,34
vosotros,34
oyo,34
sosiego,34
firme,34
acabado,34
experiencia,34
ojo,33
quitar,33
desdichado,33
fiesta,33
pedazos,33
dicie,33
amadi,33
sucedio,33
burla,33
poni,33
humilde,33
aque,33
malos,33
mismos,33
comenz,33
destas,33
condicio,33
licenciado,33
hacerse,33
diligencia,33
llev,33
montan,33
pobres,33
fico,33
entr,33
ingenio,33
lecho,33
uso,33
til,33
confianza,33
faltaba,33
letras,33
recuerdo,33
cuyas,33
tendr,33
sala,33
llevado,33
primeros,33
espanto,32
sobresalto,32
llegue,32
hondo,32
calidad,32
llanto,32
oyendo,32
parroquia,32
polonia,32
hiciese,32
escalera,32
pedi,32
sabio,32
ideas,32
solamente,32
daban,32
sabia,32
venia,32
fuere,32
sentimiento,32
triunfo,32
seno,32
prueba,32
sr,32
fueran,32
gaucho,32
usurero,32
salvo,32
prometido,32
ciertos,32
encontr,32
muestra,32
viv,32
pe,32
barbas,32
altas,32
cabellos,32
creyendo,32
deje,31
ero,31
capital,31
tono,31
reposo,31
conoc,31
pronunci,31
cumplir,31
siete,31
solos,31
llave,31
maritornes,31
seguida,31
plata,31
estuve,31
consuelo,31
ayuda,31
pregunta,31
piedras,31
deben,31
sa,31
trabajos,31
am,31
pensado,31
tuvieron,31
salida,31
dejase,31
nuevos,31
quita,31
sois,31
quito,31
ponerse,31
caminos,31
quisiese,31
esperanzas,31
azul,31
ndoles,31
maestro,31
honestidad,31
mente,31
barca,31
quedado,31
siglos,31
pago,31
ndolos,31
evitar,31
justo,31
cuyos,31
curiosidad,31
ol,31
prendas,31
imaginacio,31
labrador,31
aca,31
conque,31
sobrino,30
bienes,30
ricos,30
salido,30
estamos,30
verde,30
imaginaci,30
aliento,30
rara,30
casarse,30
paredes,30
clase,30
disparates,30
amante,30
tuviera,30
tomado,30
pasaron,30
trajano,30
ventera,30
furia,30
hallaron,30
pastores,30
mes,30
penas,30
leguas,30
tome,30
vestidos,30
serlo,30
profundo,30
federico,30
bo,30
acento,29
malas,29
derecha,29
europa,29
momentos,29
juez,29
bula,29
mozos,29
pardo,29
obstante,29
acerc,29
pasada,29
stomo,29
verle,29
dedo,29
acudir,29
servicio,29
debo,29
francia,29
puertas,29
duque,29
grandeza,29
coche,29
ves,29
rifa,29
responder,29
preguntar,29
ri,29
hermanos,29
leche,29
quiz,29
llevaban,29
pon,29
obligado,29
aguas,29
viniese,29
doncellas,29
naci,29
hierro,29
segura,29
asombro,29
albarda,29
griso,28
ticos,28
marcha,28
stico,28
pequen,28
altar,28
seria,28
pide,28
piernas,28
sucedido,28
hara,28
nombres,28
vei,28
lisboa,28
quede,28
sentado,28
ara,28
destos,28
abri,28
repuso,28
ronle,28
amenazas,28
recato,28
tertulia,28
pinto,28
damas,28
ciertas,28
esperaba,28
pusieron,28
ejercicio,28
centro,28
prosiguio,28
andaban,28
sigue,28
hiciera,28
rogo,28
hermoso,28
ocasi,28
imagen,28
efeto,28
manda,28
resolucio,28
esperando,28
grandi,28
hombro,28
flor,28
moral,28
gobierno,28
agravio,28
fa,28
discreta,28
gobernador,28
enorme,27
ambrosio,27
vale,27
nicamente,27
dire,27
sico,27
limioso,27
ale,27
ganado,27
asimismo,27
guarda,27
faltar,27
haberse,27
limpia,27
madera,27
bito,27
pecador,27
querri,27
ofreci,27
sujeto,27
quienes,27
pone,27
parar,27
adas,27
mortal,27
discreto,27
merece,27
oye,27
pun,27
dejaron,27
cree,27
duros,27
corri,27
demonio,27
cien,27
singular,27
venida,27
soberbia,27
pase,27
entera,27
enfermedad,27
garganta,27
valientes,27
encontraba,27
mayordomo,27
g,27
sufrir,27
mero,27
noticias,26
santiago,26
perro,26
actitud,26
game,26
piel,26
verg,26
vinieron,26
criada,26
notar,26
soldado,26
respuesta,26
ech,26
solas,26
armado,26
saz,26
letra,26
tomando,26
vizcai,26
historias,26
golpes,26
echado,26
sociedad,26
entretanto,26
hermandad,26
ventanas,26
bella,26
rfano,26
celos,26
descuido,26
matrimonio,26
echo,26
salieron,26
ame,26
entrado,26
discrecio,26
volv,26
dif,26
patria,26
quieren,26
marcela,26
aparte,26
necesario,26
sale,26
locuras,26
comida,26
desventura,26
encuentro,26
lazaro,26
cilmente,26
empresa,26
andado,26
entrada,26
casado,26
ltima,26
stica,25
sentimientos,25
sped,25
oyeron,25
dirigi,25
caridad,25
comenzaron,25
cristiana,25
breve,25
contaba,25
llegada,25
blancas,25
llevan,25
donaire,25
falto,25
guardar,25
limpio,25
bajar,25
despacio,25
carmen,25
punta,25
propo,25
siento,25
camisa,25
habla,25
nea,25
polvo,25
comprender,25
trataba,25
cuantas,25
blica,25
habido,25
confuso,25
conoce,25
descubierto,25
particular,25
moda,25
trigo,25
dichoso,25
nsula,25
altos,25
todavi,25
pose,25
honrada,25
forastera,25
despacho,25
industria,25
parecido,25
dici,25
amado,24
parecen,24
puesta,24
afecto,24
abuelo,24
cuadro,24
ngel,24
halla,24
asunto,24
jardi,24
licencia,24
presteza,24
forzoso,24
sabido,24
infierno,24
varias,24
varios,24
cantidad,24
das,24
pasaban,24
artificio,24
llam,24
simple,24
valle,24
inm,24
ocasiones,24
olor,24
suave,24
contando,24
recibi,24
lico,24
personaje,24
debia,24
ban,24
contigo,24
quisiere,24
uelo,24
debes,24
corral,24
humor,24
detuvo,24
segunda,24
po,24
cena,24
monte,24
sentidos,24
alas,24
energ,24
escudo,24
conde,24
rsele,24
palos,24
pro,24
ndo,24
escena,24
entrambos,24
asiento,24
facilidad,24
com,24
tratar,23
miserable,23
cobarde,23
defensa,23
balc,23
artista,23
movido,23
mozas,23
beber,23
jarro,23
abrir,23
tomaba,23
volviendo,23
reyes,23
calles,23
carrera,23
imaginar,23
aviso,23
supiese,23
males,23
jole,23
honor,23
estudiante,23
mandado,23
corr,23
leyes,23
gico,23
apacible,23
suceder,23
movimiento,23
crei,23
digna,23
herida,23
resuelto,23
palacio,23
soltar,23
ensen,23
juncal,23
seda,23
disc,23
detr,23
semblante,23
materia,23
haberle,23
cuartos,23
ropas,23
negar,23
levanto,23
olvido,23
perros,23
demasiado,23
ez,23
partido,23
traidor,23
li,23
relaciones,23
hablado,23
prima,23
importancia,23
pidio,23
despecho,23
querida,23
lica,23
vencer,23
burlas,23
mostr,23
imperio,23
mancebo,23
diera,23
gozar,23
huerto,23
villano,23
rsela,23
ternura,23
emperador,23
suspiro,23
jaula,23
acto,23
enemigos,23
stas,23
cuadrilleros,23
teniendo,22
vas,22
capitan,22
ladrones,22
comenzado,22
hubieran,22
valer,22
gritos,22
cuerno,22
vimos,22
llamaban,22
ce,22
talle,22
amaba,22
rminos,22
conocio,22
cuentan,22
santos,22
traer,22
vecino,22
dare,22
bale,22
espero,22
motivo,22
alguacil,22
celada,22
consejos,22
fica,22
ndonos,22
parecie,22
notaba,22
piso,22
advertir,22
not,22
resto,22
andas,22
perlas,22
art,22
inocente,22
suyas,22
tard,22
quedara,22
sepultura,22
lugares,22
linaje,22
rdenes,22
entero,22
objeto,22
hubiesen,22
puerto,22
brasil,22
amiga,22
nacimiento,22
tuyo,22
campos,22
podemos,22
huesos,22
tratado,22
sonrisa,22
sorpresa,22
acudio,22
tuerto,22
cay,22
hojas,22
haz,22
alz,22
vengo,22
viuda,22
poeta,22
vienen,22
alforjas,21
lsamo,21
desgracias,21
admiraci,21
recuerdos,21
imagino,21
podre,21
hechas,21
dito,21
linda,21
echaba,21
cartas,21
sobrina,21
entran,21
determinacio,21
roe,21
rinc,21
bilo,21
alba,21
quisieres,21
ac,21
claridad,21
vest,21
leg,21
quieras,21
expresi,21
roto,21
gusta,21
anoche,21
mago,21
posada,21
perjuicio,21
atrevido,21
ambas,21
multitud,21
penitencia,21
poniendo,21
besos,21
chico,21
fiel,21
subio,21
pudieron,21
satisfecho,21
ajena,21
lucha,21
lla,21
puestos,21
oles,21
mora,21
cortesi,21
inmediatamente,21
entraba,21
sac,21
remediar,21
fiera,21
ndolas,21
simamente,21
bailar,21
mejillas,21
paga,21
desengan,21
llorando,21
riqueza,21
soli,21
veas,21
corta,21
determino,21
suyos,21
famosa,21
pieza,21
andando,21
vuelve,21
terreno,21
nin,21
temer,21
cumplido,21
somos,21
eh,21
preciso,21
caballos,21
miro,21
malicia,20
paseo,20
ciencia,20
feroz,20
carnes,20
alzo,20
realidad,20
sabemos,20
propuso,20
riquezas,20
angustia,20
determinado,20
entendio,20
ocurri,20
seguido,20
izquierdo,20
vivi,20
volverse,20
probar,20
pusiese,20
fatiga,20
